Rounded size;RECOFI_bio_length_class_label;RECOFI_bio_length_class_code;IOTC_bio_length_class_code;IOTC_bio_length_class_label;bio_length_measurement_type_label;bio_length_measurement_type_code;length_measurement_unit
116;116-116.9 cm;C107;C107;116-116.9 cm;Fork length;FL;cm
117;117-117.9 cm;C108;C108;117-117.9 cm;Fork length;FL;cm
118;118-118.9 cm;C109;C109;118-118.9 cm;Fork length;FL;cm
119;119-119.9 cm;C110;C110;119-119.9 cm;Fork length;FL;cm
120;120-120.9 cm;C111;C111;120-120.9 cm;Fork length;FL;cm
121;121-121.9 cm;C112;C112;121-121.9 cm;Fork length;FL;cm
122;122-122.9 cm;C113;C113;122-122.9 cm;Fork length;FL;cm
123;123-123.9 cm;C114;C114;123-123.9 cm;Fork length;FL;cm
124;124-124.9 cm;C115;C115;124-124.9 cm;Fork length;FL;cm
125;125-125.9 cm;C116;C116;125-125.9 cm;Fork length;FL;cm
126;126-126.9 cm;C117;C117;126-126.9 cm;Fork length;FL;cm
127;127-127.9 cm;C118;C118;127-127.9 cm;Fork length;FL;cm
128;128-128.9 cm;C119;C119;128-128.9 cm;Fork length;FL;cm
129;129-129.9 cm;C120;C120;129-129.9 cm;Fork length;FL;cm
130;130-130.9 cm;C121;C121;130-130.9 cm;Fork length;FL;cm
131;131-131.9 cm;C122;C122;131-131.9 cm;Fork length;FL;cm
132;132-132.9 cm;C123;C123;132-132.9 cm;Fork length;FL;cm
133;133-133.9 cm;C124;C124;133-133.9 cm;Fork length;FL;cm
134;134-134.9 cm;C125;C125;134-134.9 cm;Fork length;FL;cm
135;135-135.9 cm;C126;C126;135-135.9 cm;Fork length;FL;cm
136;136-136.9 cm;C127;C127;136-136.9 cm;Fork length;FL;cm
137;137-137.9 cm;C128;C128;137-137.9 cm;Fork length;FL;cm
138;138-138.9 cm;C129;C129;138-138.9 cm;Fork length;FL;cm
139;139-139.9 cm;C130;C130;139-139.9 cm;Fork length;FL;cm
140;140-140.9 cm;C131;C131;140-140.9 cm;Fork length;FL;cm
141;141-141.9 cm;C132;C132;141-141.9 cm;Fork length;FL;cm
142;142-142.9 cm;C133;C133;142-142.9 cm;Fork length;FL;cm
143;143-143.9 cm;C134;C134;143-143.9 cm;Fork length;FL;cm
144;144-144.9 cm;C135;C135;144-144.9 cm;Fork length;FL;cm
145;145-145.9 cm;C136;C136;145-145.9 cm;Fork length;FL;cm
146;146-146.9 cm;C137;C137;146-146.9 cm;Fork length;FL;cm
147;147-147.9 cm;C138;C138;147-147.9 cm;Fork length;FL;cm
148;148-148.9 cm;C139;C139;148-148.9 cm;Fork length;FL;cm
149;149-149.9 cm;C140;C140;149-149.9 cm;Fork length;FL;cm
150;150-150.9 cm;C141;C141;150-150.9 cm;Fork length;FL;cm
151;151-151.9 cm;C142;C142;151-151.9 cm;;;cm
152;152-152.9 cm;C143;C143;152-152.9 cm;;;cm
153;153-153.9 cm;C144;C144;153-153.9 cm;;;cm
154;154-154.9 cm;C145;C145;154-154.9 cm;;;cm
155;155-155.9 cm;C146;C146;155-155.9 cm;;;cm
156;156-156.9 cm;C147;C147;156-156.9 cm;;;cm
157;157-157.9 cm;C148;C148;157-157.9 cm;;;cm
158;158-158.9 cm;C149;C149;158-158.9 cm;;;cm
159;159-159.9 cm;C150;C150;159-159.9 cm;;;cm
160;160-160.9 cm;;;160-160.9 cm;;;cm
161;161-161.9 cm;;;161-161.9 cm;;;cm
162;162-162.9 cm;;;162-162.9 cm;;;cm
163;163-163.9 cm;;;163-163.9 cm;;;cm
164;164-164.9 cm;;;164-164.9 cm;;;cm
165;165-165.9 cm;;;165-165.9 cm;;;cm
166;166-166.9 cm;;;166-166.9 cm;;;cm
167;167-167.9 cm;;;167-167.9 cm;;;cm
168;168-168.9 cm;;;168-168.9 cm;;;cm
169;169-169.9 cm;;;169-169.9 cm;;;cm
170;170-170.9 cm;;;170-170.9 cm;;;cm
171;171-171.9 cm;;;171-171.9 cm;;;cm
172;172-172.9 cm;;;172-172.9 cm;;;cm
173;173-173.9 cm;;;173-173.9 cm;;;cm
174;174-174.9 cm;;;174-174.9 cm;;;cm
175;175-175.9 cm;;;175-175.9 cm;;;cm
176;176-176.9 cm;;;176-176.9 cm;;;cm
177;177-177.9 cm;;;177-177.9 cm;;;cm
178;178-178.9 cm;;;178-178.9 cm;;;cm
179;179-179.9 cm;;;179-179.9 cm;;;cm
180;180-180.9 cm;;;180-180.9 cm;;;cm
181;181-181.9 cm;;;181-181.9 cm;;;cm
182;182-182.9 cm;;;182-182.9 cm;;;cm
183;183-183.9 cm;;;183-183.9 cm;;;cm
184;184-184.9 cm;;;184-184.9 cm;;;cm
185;185-185.9 cm;;;185-185.9 cm;;;cm
