code,uri,label,definition,name_sci,name_en,name_fr,name_es
RPM,,Largetooth sawfish,Pristis microdon,Pristis microdon,Largetooth sawfish,,
MAE,,Spotted eagle ray (chucho),Aetobatus narinari,Aetobatus narinari,Spotted eagle ray (chucho),,
RMB,,Giant Oceanic Manta Ray,Mobula birostris,Mobula birostris,Giant Oceanic Manta Ray,,
RDA,,Sting ray,Dasyatis americana,Dasyatis americana,Sting ray,,
TZB,,Caribbean Electric Ray,Narcine bancroftii,Narcine bancroftii,Caribbean Electric Ray,,
BXD,,Alfonsino,Beryx decadactylus,Beryx decadactylus,Alfonsino,,
BSF,,black scabbard fish,Aphanopus carbo,Aphanopus carbo,black scabbard fish,,
EPI,,black cardinal fish,Epigonus telescopus,Epigonus telescopus,black cardinal fish,,
WRF,,wreckfish,Polyprion americanus,Polyprion americanus,wreckfish,,
NIS,,pink speckled deep sea shrimp,Penaeopsis serrata,Penaeopsis serrata,pink speckled deep sea shrimp,,
MFI,,deep sea lobster,Metanephrops binghami,Metanephrops binghami,deep sea lobster,,
GPX,,Groupers nei,Epinephelus spp,Epinephelus spp,Groupers nei,,
SNA,,Snappers nei,Lutjanus spp,Lutjanus spp,Snappers nei,,
RPU,,Vermilion snapper,Rhomboplites aurorubens,Rhomboplites aurorubens,Vermilion snapper,,
HOF,,Offshore silver hake,Merluccius albidus,Merluccius albidus,Offshore silver hake,,
MVJ,,Blackfin goosefish,Lophius gastrophysus,Lophius gastrophysus,Blackfin goosefish,,
JOS,,Silvery John dory,Zenopsis conchifer,Zenopsis conchifer,Silvery John dory,,
NTK,,Atlantic deep-sea lobster,Acanthacaris caeca ,Acanthacaris caeca ,Atlantic deep-sea lobster,,
NFI,,Two-toned lobsterette,Nephropsis rosea,Nephropsis rosea,Two-toned lobsterette,,
NFU,,Florida lobsterette,Nephropsis aculeata,Nephropsis aculeata,Florida lobsterette,,
NFN,,Ruby lobsterette,Nephropsis neglecta,Nephropsis neglecta,Ruby lobsterette,,
ARS,,Giant red shrimp,Aristaeomorpha foliacea,Aristaeomorpha foliacea,Giant red shrimp,,
AVD,,Stout red shrimp,Aristeus virilis,Aristeus virilis,Stout red shrimp,,
ANJ,,Purplehead gamba prawn,Aristeus antillensis,Aristeus antillensis,Purplehead gamba prawn,,
SSH,,Scarlet shrimp,Plesiopenaeus edwardsianus,Plesiopenaeus edwardsianus,Scarlet shrimp,,
CRR,,Red crab,Chaceon quinquedens,Chaceon quinquedens,Red crab,,
ELQ,,El Dorado shrimp,Chaceon eldorado,Chaceon eldorado,El Dorado shrimp,,
AVA,,Atlantic anchoveta,Cetengraulis edentulus,Cetengraulis edentulus,Atlantic anchoveta,Anchois queuejaune,Anchoveta rabo amarillo
SAA,,Round sardinella (Spanish sardine),Sardinella aurita,Sardinella aurita,Round sardinella (Spanish sardine),Allache,Sardinela atlantica
BSR,,Brazilian sardinella (TT-Jashua),Sardinella brasiliensis,Sardinella brasiliensis,Brazilian sardinella (TT-Jashua),,
POM,,Florida pompano,Trachinotus carolinus,Trachinotus carolinus,Florida pompano,Pompaneau sole,Pámpano amarillo
LHT,,Largehead hairtail,Trichiurus lepturus,Trichiurus lepturus,Largehead hairtail,Poisson sabre (de l’Atlantique),Sable
LOB,,Atlantic tripletail,Lobotes surinamensis,Lobotes surinamensis,Atlantic tripletail,,
GPR,,Red grouper,Epinephelus morio,Epinephelus morio,Red grouper,Mérou rouge,Mero americano
GPN,,Nassau grouper,Epinephelus striatus,Epinephelus striatus,Nassau grouper,Mérou raye,Cherna criolla
MAB,,Black grouper,Mycteroperca bonaci,Mycteroperca bonaci,Black grouper,,
EEU,,Red hind,Epinephelus guttatus,Epinephelus guttatus,Red hind,,
EET,,Goliath grouper,Epinephelus itajara,Epinephelus itajara,Goliath grouper,,
CFJ,,Coney,Cephalopholis fulva,Cephalopholis fulva,Coney,,
CFL,,Graysby,Cephalopholis cruentata,Cephalopholis cruentata,Graysby,,
EFD,,Rock hind,Epinephelus adscensionis,Epinephelus adscensionis,Rock hind,,
MKT,,Tiger grouper,Mycteroperca tigris,Mycteroperca tigris,Tiger grouper,,
MKV,,Yellowfin grouper,Mycteroperca venenosa,Mycteroperca venenosa,Yellowfin grouper,,
EEY,,Misty grouper,Epinephelus mystacinus,Epinephelus mystacinus,Misty grouper,,
EEL,,Yellowedge grouper,Epinephelus flavolimbatus,Epinephelus flavolimbatus,Yellowedge grouper,,
MKN,,Yellowmouth grouper,Mycteroperca interstitialis,Mycteroperca interstitialis,Yellowmouth grouper,,
HLI,,White grunt,Haemulon plumierii,Haemulon plumierii,White grunt,,
HLU,,White Margate,Haemulon album,Haemulon album,White Margate,,
HHI,,Bluestriped grunt,Haemulon sciurus,Haemulon sciurus,Bluestriped grunt,,
CBD,,Jolthead porgy,Calamus bajonado,Calamus bajonado,Jolthead porgy,,
CFE,,Sheepshead porgy,Calamus penna,Calamus penna,Sheepshead porgy,,
JKQ,,Pluma porgy,Calamus pennatula,Calamus pennatula,Pluma porgy,,
JIU,,Squirrelfishes,Holocentrus rufus,Holocentrus rufus,Squirrelfishes,,
RUB,,Blue runner,Caranx crysos,Caranx crysos,Blue runner,,
CVJ,,Crevalle,Caranx hippos,Caranx hippos,Crevalle,,
LIJ,,African Pompano,Alectis ciliaris,Alectis ciliaris,African Pompano,,
