code,uri,label,definition,Rounded size,IOTC_bio_length_class_code,IOTC_bio_length_class_label,bio_length_measurement_type_label,bio_length_measurement_type_code,length_measurement_unit
113,NA,113-113.9 cm,NA,113,C104,113-113.9 cm,Fork length,FL,cm
114,NA,114-114.9 cm,NA,114,C105,114-114.9 cm,Fork length,FL,cm
115,NA,115-115.9 cm,NA,115,C106,115-115.9 cm,Fork length,FL,cm
116,NA,116-116.9 cm,NA,116,C107,116-116.9 cm,Fork length,FL,cm
117,NA,117-117.9 cm,NA,117,C108,117-117.9 cm,Fork length,FL,cm
118,NA,118-118.9 cm,NA,118,C109,118-118.9 cm,Fork length,FL,cm
119,NA,119-119.9 cm,NA,119,C110,119-119.9 cm,Fork length,FL,cm
120,NA,120-120.9 cm,NA,120,C111,120-120.9 cm,Fork length,FL,cm
121,NA,121-121.9 cm,NA,121,C112,121-121.9 cm,Fork length,FL,cm
122,NA,122-122.9 cm,NA,122,C113,122-122.9 cm,Fork length,FL,cm
123,NA,123-123.9 cm,NA,123,C114,123-123.9 cm,Fork length,FL,cm
124,NA,124-124.9 cm,NA,124,C115,124-124.9 cm,Fork length,FL,cm
125,NA,125-125.9 cm,NA,125,C116,125-125.9 cm,Fork length,FL,cm
126,NA,126-126.9 cm,NA,126,C117,126-126.9 cm,Fork length,FL,cm
127,NA,127-127.9 cm,NA,127,C118,127-127.9 cm,Fork length,FL,cm
128,NA,128-128.9 cm,NA,128,C119,128-128.9 cm,Fork length,FL,cm
129,NA,129-129.9 cm,NA,129,C120,129-129.9 cm,Fork length,FL,cm
130,NA,130-130.9 cm,NA,130,C121,130-130.9 cm,Fork length,FL,cm
131,NA,131-131.9 cm,NA,131,C122,131-131.9 cm,Fork length,FL,cm
132,NA,132-132.9 cm,NA,132,C123,132-132.9 cm,Fork length,FL,cm
133,NA,133-133.9 cm,NA,133,C124,133-133.9 cm,Fork length,FL,cm
134,NA,134-134.9 cm,NA,134,C125,134-134.9 cm,Fork length,FL,cm
135,NA,135-135.9 cm,NA,135,C126,135-135.9 cm,Fork length,FL,cm
136,NA,136-136.9 cm,NA,136,C127,136-136.9 cm,Fork length,FL,cm
137,NA,137-137.9 cm,NA,137,C128,137-137.9 cm,Fork length,FL,cm
138,NA,138-138.9 cm,NA,138,C129,138-138.9 cm,Fork length,FL,cm
139,NA,139-139.9 cm,NA,139,C130,139-139.9 cm,Fork length,FL,cm
140,NA,140-140.9 cm,NA,140,C131,140-140.9 cm,Fork length,FL,cm
141,NA,141-141.9 cm,NA,141,C132,141-141.9 cm,Fork length,FL,cm
142,NA,142-142.9 cm,NA,142,C133,142-142.9 cm,Fork length,FL,cm
143,NA,143-143.9 cm,NA,143,C134,143-143.9 cm,Fork length,FL,cm
144,NA,144-144.9 cm,NA,144,C135,144-144.9 cm,Fork length,FL,cm
145,NA,145-145.9 cm,NA,145,C136,145-145.9 cm,Fork length,FL,cm
146,NA,146-146.9 cm,NA,146,C137,146-146.9 cm,Fork length,FL,cm
147,NA,147-147.9 cm,NA,147,C138,147-147.9 cm,Fork length,FL,cm
148,NA,148-148.9 cm,NA,148,C139,148-148.9 cm,Fork length,FL,cm
149,NA,149-149.9 cm,NA,149,C140,149-149.9 cm,Fork length,FL,cm
150,NA,150-150.9 cm,NA,150,C141,150-150.9 cm,Fork length,FL,cm
151,NA,151-151.9 cm,NA,151,C142,151-151.9 cm,,,cm
152,NA,152-152.9 cm,NA,152,C143,152-152.9 cm,,,cm
153,NA,153-153.9 cm,NA,153,C144,153-153.9 cm,,,cm
154,NA,154-154.9 cm,NA,154,C145,154-154.9 cm,,,cm
155,NA,155-155.9 cm,NA,155,C146,155-155.9 cm,,,cm
156,NA,156-156.9 cm,NA,156,C147,156-156.9 cm,,,cm
157,NA,157-157.9 cm,NA,157,C148,157-157.9 cm,,,cm
158,NA,158-158.9 cm,NA,158,C149,158-158.9 cm,,,cm
159,NA,159-159.9 cm,NA,159,C150,159-159.9 cm,,,cm
160,NA,160-160.9 cm,NA,160,,160-160.9 cm,,,cm
161,NA,161-161.9 cm,NA,161,,161-161.9 cm,,,cm
162,NA,162-162.9 cm,NA,162,,162-162.9 cm,,,cm
163,NA,163-163.9 cm,NA,163,,163-163.9 cm,,,cm
164,NA,164-164.9 cm,NA,164,,164-164.9 cm,,,cm
165,NA,165-165.9 cm,NA,165,,165-165.9 cm,,,cm
166,NA,166-166.9 cm,NA,166,,166-166.9 cm,,,cm
167,NA,167-167.9 cm,NA,167,,167-167.9 cm,,,cm
168,NA,168-168.9 cm,NA,168,,168-168.9 cm,,,cm
169,NA,169-169.9 cm,NA,169,,169-169.9 cm,,,cm
170,NA,170-170.9 cm,NA,170,,170-170.9 cm,,,cm
171,NA,171-171.9 cm,NA,171,,171-171.9 cm,,,cm
172,NA,172-172.9 cm,NA,172,,172-172.9 cm,,,cm
