code,uri,label,definition,label_en,label_fr,label_es,label_ar,label_zh,label_ru
27.4.c,NA,Southern North Sea (Division 27.4.c),NA,Southern North Sea (Division 27.4.c),Mer du Nord méridionale (Division 27.4.c),Mar del Norte meridional (División 27.4.c),NA,NA,NA
27.7.c,NA,Porcupine Bank (Division 27.7.c),NA,Porcupine Bank (Division 27.7.c),Banc de Porcupine (Division 27.7.c),Porcupine Bank (División 27.7.c),NA,NA,NA
27.3.d,NA,Baltic Sea (Division 27.3.d),NA,Baltic Sea (Division 27.3.d),Mer Baltique (Division 27.3.d),Mar Báltico (División 27.3.d),NA,NA,NA
"27.3.b, c",NA,NA,NA,NA,NA,NA,NA,NA,NA
27.4.b,NA,Central North Sea (Division 27.4.b),NA,Central North Sea (Division 27.4.b),Mer du Nord centrale (Division 27.4.b),Mar del Norte central (División 27.4.b),NA,NA,NA
27.6.b,NA,Rockall (Division 27.6.b),NA,Rockall (Division 27.6.b),Rockall (Division 27.6.b),Rockall (División 27.6.b),NA,NA,NA
27.5.b,NA,Faroes Grounds (Division 27.5.b),NA,Faroes Grounds (Division 27.5.b),Fonds des Féroé (Division 27.5.b),Fondos de las Feroe (División 27.5.b),NA,NA,NA
27.12.a,NA,Southern mid-Atlantic Ridge (Division 27.12.a),NA,Southern mid-Atlantic Ridge (Division 27.12.a),Nord des Açores (Division 27.12.a),Norte de las Azores (División 27.12.a),NA,NA,NA
27.5.a,NA,Iceland Grounds (Division 27.5.a),NA,Iceland Grounds (Division 27.5.a),Fonds de l'Islande (Division 27.5.a),Fondos de Islandia (División 27.5.a),NA,NA,NA
27.14.b,NA,Southeast Greenland (Division 27.14.b),NA,Southeast Greenland (Division 27.14.b),Groenland sud-est (Division 27.14.b),Groenlandia sudoriental (División 27.14.b),NA,NA,NA
27.2.a,NA,Norwegian Sea (Division 27.2.a),NA,Norwegian Sea (Division 27.2.a),Mer de Norvège (Division 27.2.a),Mar de Noruega (División 27.2.a),NA,NA,NA
27.2.b,NA,Spitzbergen and Bear Island (Division 27.2.b),NA,Spitzbergen and Bear Island (Division 27.2.b),Spitzberg et île aux Ours (Division 27.2.b),Spitzbergen e Islas Osos (División 27.2.b),NA,NA,NA
27.1.a,NA,Barents Sea - NEAFC Regulatory Area (Division 27.1.a),NA,Barents Sea - NEAFC Regulatory Area (Division 27.1.a),Mer de Barents - CPANE (Division 27.1.a),Mar de Barents - CPANE (División 27.1.a),NA,NA,NA
27.14.a,NA,Northeast Greenland (Division 27.14.a),NA,Northeast Greenland (Division 27.14.a),Groenland nord-est (Division 27.14.a),Groenlandia nordoriental (División 27.14.a),NA,NA,NA
27.7.e,NA,Western English Channel (Division 27.7.e),NA,Western English Channel (Division 27.7.e),Manche occidentale (Division 27.7.e),Canal de la Mancha occidental (División 27.7.e),NA,NA,NA
27.7.d,NA,Eastern English Channel (Division 27.7.d),NA,Eastern English Channel (Division 27.7.d),Manche orientale (Division 27.7.d),Canal de la Mancha oriental (División 27.7.d),NA,NA,NA
27.6.a,NA,Northwest Coast of Scotland and North Ireland or as the West of Scotland (Division 27.6.a),NA,Northwest Coast of Scotland and North Ireland or as the West of Scotland (Division 27.6.a),Côte Nord-Ouest de l'Ecosse et Irlande du Nord ou comme Ouest de l'Ecosse (Division 27.6.a),Costa nord-occidental de Escocia e Irlanda del Norte o el Oeste de Escocia (División 27.6.a),NA,NA,NA
27.7.b,NA,West of Ireland (Division 27.7.b),NA,West of Ireland (Division 27.7.b),Ouest de l'Irlande (Division 27.7.b),Oeste de Irlanda (División 27.7.b),NA,NA,NA
27.7.a,NA,Irish Sea (Division 27.7.a),NA,Irish Sea (Division 27.7.a),Mer d'Irlande (Division 27.7.a),Mar de Irlanda (División 27.7.a),NA,NA,NA
27.4.a,NA,Northern North Sea (Division 27.4.a),NA,Northern North Sea (Division 27.4.a),Mer du Nord septentrionale (Division 27.4.a),Mar del Norte septentrional (División 27.4.a),NA,NA,NA
27.1.b,NA,Barents Sea Non-NEAFC Regulatory Area (Division 27.1.b),NA,Barents Sea Non-NEAFC Regulatory Area (Division 27.1.b),Mer de Barents - non-CPANE (Division  27.1.b),Mar de Barents - Non-CPANE (División  27.1.b),NA,NA,NA
27.3.a,NA,Skagerrak and Kattegat (Division 27.3.a),NA,Skagerrak and Kattegat (Division 27.3.a),Skagerrak et Cattégat (Division 27.3.a),"Skagerrak, Kattegat (División 27.3.a)",NA,NA,NA
34.1.11,NA,"Atlantic, East central / 34.1.11",NA,"Atlantic, East central / 34.1.11",Atl EC / 34.1.1.1,Atl EC / 34.1.11,NA,NA,NA
34.1.12,NA,"Atlantic, East central / 34.1.12",NA,"Atlantic, East central / 34.1.12",Atl EC / 34.1.1.2,Atl EC / 34.1.12,NA,NA,NA
34.1.13,NA,"Atlantic, East central / 34.1.13",NA,"Atlantic, East central / 34.1.13",Atl EC / 34.1.1.3,Atl EC / 34.1.13,NA,NA,NA
34.1.31,NA,"Atlantic, East central / 34.1.31",NA,"Atlantic, East central / 34.1.31",Atl EC / 34.1.3.1,Atl EC / 34.1.31,NA,NA,NA
34.1.32,NA,"Atlantic, East central / 34.1.32",NA,"Atlantic, East central / 34.1.32",Atl EC / 34.1.3.2,Atl EC / 34.1.32,NA,NA,NA
34.3.11,NA,"Atlantic, East central / 34.3.11",NA,"Atlantic, East central / 34.3.11",Atl EC / 34.3.1.1,Atl EC / 34.3.11,NA,NA,NA
34.3.12,NA,"Atlantic, East central / 34.3.12",NA,"Atlantic, East central / 34.3.12",Atl EC / 34.3.1.2,Atl EC / 34.3.12,NA,NA,NA
34.3.13,NA,"Atlantic, East central / 34.3.13",NA,"Atlantic, East central / 34.3.13",Atl EC / 34.3.1.3,Atl EC / 34.3.13,NA,NA,NA
87.1.11,NA,"Pacific, Southeast / 87.1.11",NA,"Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11",NA,NA,NA
87.1.21,NA,"Pacific, Southeast / 87.1.21",NA,"Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21",NA,NA,NA
87.1.22,NA,"Pacific, Southeast / 87.1.22",NA,"Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22",NA,NA,NA
87.1.12,NA,"Pacific, Southeast / 87.1.12",NA,"Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12",NA,NA,NA
87.1.23,NA,"Pacific, Southeast / 87.1.23",NA,"Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23",NA,NA,NA
87.1.13,NA,"Pacific, Southeast / 87.1.13",NA,"Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13",NA,NA,NA
87.1.24,NA,"Pacific, Southeast / 87.1.24",NA,"Pacific, Southeast / 87.1.24","Pacific, Southeast / 87.1.24","Pacific, Southeast / 87.1.24",NA,NA,NA
87.1.14,NA,"Pacific, Southeast / 87.1.14",NA,"Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14",NA,NA,NA
87.1.25,NA,"Pacific, Southeast / 87.1.25",NA,"Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25",NA,NA,NA
87.1.15,NA,"Pacific, Southeast / 87.1.15",NA,"Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15",NA,NA,NA
87.2.21,NA,87.2.21,NA,87.2.21,87.2.21,87.2.21,NA,NA,NA
87.2.11,NA,87.2.11,NA,87.2.11,87.2.11,87.2.11,NA,NA,NA
87.2.22,NA,87.2.22,NA,87.2.22,87.2.22,87.2.22,NA,NA,NA
87.2.12,NA,87.2.12,NA,87.2.12,87.2.12,87.2.12,NA,NA,NA
87.2.23,NA,87.2.23,NA,87.2.23,87.2.23,87.2.23,NA,NA,NA
87.2.13,NA,87.2.13,NA,87.2.13,87.2.13,87.2.13,NA,NA,NA
87.2.24,NA,87.2.24,NA,87.2.24,87.2.24,87.2.24,NA,NA,NA
87.2.14,NA,87.2.14,NA,87.2.14,87.2.14,87.2.14,NA,NA,NA
87.2.25,NA,87.2.25,NA,87.2.25,87.2.25,87.2.25,NA,NA,NA
87.2.15,NA,87.2.15,NA,87.2.15,87.2.15,87.2.15,NA,NA,NA
87.2.26,NA,87.2.26,NA,87.2.26,87.2.26,87.2.26,NA,NA,NA
87.2.16,NA,87.2.16,NA,87.2.16,87.2.16,87.2.16,NA,NA,NA
87.2.27,NA,87.2.27,NA,87.2.27,87.2.27,87.2.27,NA,NA,NA
87.2.17,NA,87.2.17,NA,87.2.17,87.2.17,87.2.17,NA,NA,NA
87.3.21,NA,87.3.21,NA,87.3.21,87.3.21,87.3.21,NA,NA,NA
87.3.11,NA,87.3.11,NA,87.3.11,87.3.11,87.3.11,NA,NA,NA
87.3.22,NA,87.3.22,NA,87.3.22,87.3.22,87.3.22,NA,NA,NA
87.3.23,NA,87.3.23,NA,87.3.23,87.3.23,87.3.23,NA,NA,NA
27.10.a.2,NA,Azores Grounds Non-NEAFC Regulatory Area (Subdivision 27.10.a.2),NA,Azores Grounds Non-NEAFC Regulatory Area (Subdivision 27.10.a.2),Fonds des Açores - Partie de non-CPANE (Sous-division 27.10.a.2),Fondos de las Azores - Non-CPANE (Subdivisión 27.10.a.2),NA,NA,NA
27.10.a.1,NA,Azores Grounds - Parts of the NEAFC Regulatory Area (Subdivision 27.10.a.1),NA,Azores Grounds - Parts of the NEAFC Regulatory Area (Subdivision 27.10.a.1),Fonds des Açores - Partie de CPANE (Sous-division 27.10.a.1),Fondos de las Azores - Parte de CPANE (Subdivisión 27.10.a.1),NA,NA,NA
27.9.b.1,NA,Portuguese Waters - West Parts in NEAFC Regulatory Area (Subdivision 27.9.b.1),NA,Portuguese Waters - West Parts in NEAFC Regulatory Area (Subdivision 27.9.b.1),Eaux portugaises - Ouest - Partie de CPANE (Sous-division 27.9.b.1),Aguas Portuguesas - oeste - Partes de CPANE (Subdivisión 27.9.b.1),NA,NA,NA
27.9.b.2,NA,Portuguese Waters - West Non-NEAFC Regulatory Area (Subdivision 27.9.b.2),NA,Portuguese Waters - West Non-NEAFC Regulatory Area (Subdivision 27.9.b.2),Eaux portugaises - Ouest - Partie de non-CPANE (Sous-division 27.9.b.2),Aguas Portuguesas - oeste Non-CPANE (Subdivisión 27.9.b.2),NA,NA,NA
58.4.4.a,NA,Indian Antarctic 58.4.4.a,NA,Indian Antarctic 58.4.4.a,Ind Antar 58.4.4.a,Ind Antar 58.4.4.a,NA,NA,NA
58.4.4.b,NA,Indian Antarctic 58.4.4.b,NA,Indian Antarctic 58.4.4.b,Ind Antar 58.4.4.b,Ind Antar 58.4.4.b,NA,NA,NA
87.3.12,NA,87.3.12,NA,87.3.12,87.3.12,87.3.12,NA,NA,NA
87.3.13,NA,87.3.13,NA,87.3.13,87.3.13,87.3.13,NA,NA,NA
58.4.3.b,NA,Indian Antarctic 58.4.3.b,NA,Indian Antarctic 58.4.3.b,Ind Antar 58.4.3.b,Ind Antar 58.4.3.b,NA,NA,NA
58.4.3.a,NA,Indian Antarctic 58.4.3.a,NA,Indian Antarctic 58.4.3.a,Ind Antar 58.4.3.a,Ind Antar 58.4.3.a,NA,NA,NA
27.8.e.1,NA,West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1),NA,West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1),Ouest du golfe de Gascogne - Partie de CPANE (Sous-division 27.8.e.1),Oeste del Golfo de Vizcaya - Partes de CPANE (Subdivisión 27.8.e.1),NA,NA,NA
27.8.d.1,NA,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1),NA,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1),Golfe de Gascogne - Large - Partie de CPANE (Sous-division 27.8.d.1),Golfo de Vizcaya - alta mar - Partes de CPANE (Subdivisión 27.8.d.1),NA,NA,NA
21.4.5.s,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.5.Z.e,NA,"Atlantic, Northwest / 21.5.Z.e",NA,"Atlantic, Northwest / 21.5.Z.e",Atl NW / 21.5.Z.e,Atl NW / 21.5.Z.e,NA,NA,NA
