code,uri,label,definition
5102117,NA,5102117,NA
5102118,NA,5102118,NA
5102119,NA,5102119,NA
5102120,NA,5102120,NA
5102121,NA,5102121,NA
5102122,NA,5102122,NA
5102123,NA,5102123,NA
5102124,NA,5102124,NA
5102125,NA,5102125,NA
5102126,NA,5102126,NA
5102127,NA,5102127,NA
5102128,NA,5102128,NA
5102129,NA,5102129,NA
5102130,NA,5102130,NA
5102131,NA,5102131,NA
5102132,NA,5102132,NA
5102133,NA,5102133,NA
5102134,NA,5102134,NA
5102135,NA,5102135,NA
5102136,NA,5102136,NA
5102137,NA,5102137,NA
5102138,NA,5102138,NA
5102139,NA,5102139,NA
5102140,NA,5102140,NA
5102141,NA,5102141,NA
5102142,NA,5102142,NA
5102143,NA,5102143,NA
5102144,NA,5102144,NA
5102145,NA,5102145,NA
5102146,NA,5102146,NA
5102147,NA,5102147,NA
5102148,NA,5102148,NA
5102149,NA,5102149,NA
5102150,NA,5102150,NA
5102151,NA,5102151,NA
5102152,NA,5102152,NA
5102153,NA,5102153,NA
5102154,NA,5102154,NA
5102155,NA,5102155,NA
5102156,NA,5102156,NA
5102157,NA,5102157,NA
5102158,NA,5102158,NA
5102159,NA,5102159,NA
5102160,NA,5102160,NA
5102161,NA,5102161,NA
5102162,NA,5102162,NA
5102163,NA,5102163,NA
5102164,NA,5102164,NA
5102165,NA,5102165,NA
5102166,NA,5102166,NA
5102167,NA,5102167,NA
5102168,NA,5102168,NA
5102169,NA,5102169,NA
5102170,NA,5102170,NA
5102171,NA,5102171,NA
5102172,NA,5102172,NA
5102173,NA,5102173,NA
5102174,NA,5102174,NA
5102175,NA,5102175,NA
5102176,NA,5102176,NA
5102177,NA,5102177,NA
5102178,NA,5102178,NA
5102179,NA,5102179,NA
5103000,NA,5103000,NA
5103001,NA,5103001,NA
5103002,NA,5103002,NA
5103003,NA,5103003,NA
5103004,NA,5103004,NA
5103005,NA,5103005,NA
5103006,NA,5103006,NA
5103007,NA,5103007,NA
5103008,NA,5103008,NA
5103009,NA,5103009,NA
5103010,NA,5103010,NA
5103011,NA,5103011,NA
5103012,NA,5103012,NA
5103013,NA,5103013,NA
5103014,NA,5103014,NA
5103015,NA,5103015,NA
5103016,NA,5103016,NA
5103017,NA,5103017,NA
5103018,NA,5103018,NA
5103019,NA,5103019,NA
5103020,NA,5103020,NA
5103021,NA,5103021,NA
5103022,NA,5103022,NA
5103023,NA,5103023,NA
5103024,NA,5103024,NA
5103025,NA,5103025,NA
5103026,NA,5103026,NA
5103027,NA,5103027,NA
5103028,NA,5103028,NA
5103029,NA,5103029,NA
5103030,NA,5103030,NA
5103031,NA,5103031,NA
5103032,NA,5103032,NA
5103033,NA,5103033,NA
5103034,NA,5103034,NA
5103035,NA,5103035,NA
5103036,NA,5103036,NA
5103037,NA,5103037,NA
5103038,NA,5103038,NA
5103039,NA,5103039,NA
5103040,NA,5103040,NA
5103041,NA,5103041,NA
5103042,NA,5103042,NA
5103043,NA,5103043,NA
5103044,NA,5103044,NA
5103045,NA,5103045,NA
5103046,NA,5103046,NA
5103047,NA,5103047,NA
5103048,NA,5103048,NA
5103049,NA,5103049,NA
5103050,NA,5103050,NA
5103051,NA,5103051,NA
5103052,NA,5103052,NA
5103053,NA,5103053,NA
5103054,NA,5103054,NA
5103055,NA,5103055,NA
5103056,NA,5103056,NA
5103057,NA,5103057,NA
5103058,NA,5103058,NA
5103059,NA,5103059,NA
5103060,NA,5103060,NA
5103061,NA,5103061,NA
5103062,NA,5103062,NA
5103063,NA,5103063,NA
5103064,NA,5103064,NA
5103065,NA,5103065,NA
5103066,NA,5103066,NA
5103067,NA,5103067,NA
5103068,NA,5103068,NA
5103069,NA,5103069,NA
5103070,NA,5103070,NA
5103071,NA,5103071,NA
5103072,NA,5103072,NA
5103073,NA,5103073,NA
5103074,NA,5103074,NA
5103075,NA,5103075,NA
5103076,NA,5103076,NA
5103077,NA,5103077,NA
5103078,NA,5103078,NA
5103079,NA,5103079,NA
5103080,NA,5103080,NA
5103081,NA,5103081,NA
5103082,NA,5103082,NA
5103083,NA,5103083,NA
5103084,NA,5103084,NA
5103085,NA,5103085,NA
5103086,NA,5103086,NA
5103087,NA,5103087,NA
5103088,NA,5103088,NA
5103089,NA,5103089,NA
5103090,NA,5103090,NA
5103091,NA,5103091,NA
5103092,NA,5103092,NA
5103093,NA,5103093,NA
5103094,NA,5103094,NA
5103095,NA,5103095,NA
5103096,NA,5103096,NA
5103097,NA,5103097,NA
5103098,NA,5103098,NA
5103099,NA,5103099,NA
5103100,NA,5103100,NA
5103101,NA,5103101,NA
5103102,NA,5103102,NA
5103103,NA,5103103,NA
5103104,NA,5103104,NA
5103105,NA,5103105,NA
5103106,NA,5103106,NA
5103107,NA,5103107,NA
5103108,NA,5103108,NA
5103109,NA,5103109,NA
5103110,NA,5103110,NA
5103111,NA,5103111,NA
5103112,NA,5103112,NA
5103113,NA,5103113,NA
5103114,NA,5103114,NA
5103115,NA,5103115,NA
5103116,NA,5103116,NA
5103117,NA,5103117,NA
5103118,NA,5103118,NA
5103119,NA,5103119,NA
5103120,NA,5103120,NA
5103121,NA,5103121,NA
5103122,NA,5103122,NA
5103123,NA,5103123,NA
5103124,NA,5103124,NA
5103125,NA,5103125,NA
5103126,NA,5103126,NA
5103127,NA,5103127,NA
5103128,NA,5103128,NA
5103129,NA,5103129,NA
5103130,NA,5103130,NA
5103131,NA,5103131,NA
5103132,NA,5103132,NA
5103133,NA,5103133,NA
5103134,NA,5103134,NA
5103135,NA,5103135,NA
5103136,NA,5103136,NA
5103137,NA,5103137,NA
5103138,NA,5103138,NA
5103139,NA,5103139,NA
5103140,NA,5103140,NA
5103141,NA,5103141,NA
5103142,NA,5103142,NA
5103143,NA,5103143,NA
5103144,NA,5103144,NA
5103145,NA,5103145,NA
5103146,NA,5103146,NA
5103147,NA,5103147,NA
5103148,NA,5103148,NA
5103149,NA,5103149,NA
5103150,NA,5103150,NA
5103151,NA,5103151,NA
5103152,NA,5103152,NA
5103153,NA,5103153,NA
5103154,NA,5103154,NA
5103155,NA,5103155,NA
5103156,NA,5103156,NA
5103157,NA,5103157,NA
5103158,NA,5103158,NA
5103159,NA,5103159,NA
5103160,NA,5103160,NA
5103161,NA,5103161,NA
