"code","uri","label","definition","label_en","label_es","label_fr","label_ru","label_cn","official_name_ar","official_name_en","official_name_es","official_name_fr","official_name_ru","official_name_cn","official_name_ar.1","char12_code","un_code"
"BRA",NA,"Brazil",NA,"Brazil","Brasil","Brésil","<U+0411><U+0440><U+0430><U+0437><U+0438><U+043B><U+0438><U+044F>","<U+5DF4><U+897F>","<U+0627><U+0644><U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0627><U+062A><U+062D><U+0627><U+062F><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0628><U+0631><U+0627><U+0632><U+064A><U+0644><U+064A><U+0651><U+0629>","the Federative Republic of Brazil","la República Federativa del Brasil","la République fédérative du Brésil","<U+0424><U+0435><U+0434><U+0435><U+0440><U+0430><U+0442><U+0438><U+0432><U+043D><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0440><U+0430><U+0437><U+0438><U+043B><U+0438><U+044F>","<U+5DF4><U+897F><U+8054><U+90A6><U+5171><U+548C><U+56FD>","<U+0627><U+0644><U+0628><U+0631><U+0627><U+0632><U+064A><U+0644>","Brazil","076"
"ABW",NA,"Aruba",NA,"Aruba","Aruba","Aruba","<U+0410><U+0440><U+0443><U+0431><U+0430>","<U+963F><U+9C81><U+5DF4><U+5C9B>","<U+0623><U+064E><U+0631><U+0648><U+0628><U+0627>","Aruba","Aruba","Aruba","<U+0410><U+0440><U+0443><U+0431><U+0430>","<U+963F><U+9C81><U+5DF4><U+5C9B>","<U+0623><U+064E><U+0631><U+0648><U+0628><U+0627>","Aruba","533"
"BLZ",NA,"Belize",NA,"Belize","Belice","Belize","<U+0411><U+0435><U+043B><U+0438><U+0437>","<U+4F2F><U+5229><U+5179>","<U+0628><U+0644><U+064A><U+0632>","Belize","Belice","le Belize","<U+0411><U+0435><U+043B><U+0438><U+0437>","<U+4F2F><U+5229><U+5179>","<U+0628><U+0644><U+064A><U+0632>","Belize","084"
"IOT",NA,"British Indian Ocean Ter",NA,"British Indian Ocean Ter","Ter. Brit. Océano Índico","Terr. brit. océan Indien","<U+0411><U+0440><U+0438><U+0442><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+0442><U+0435><U+0440><U+0440><U+0438><U+0442><U+043E><U+0440><U+0438><U+044F> <U+0432> <U+0418><U+043D><U+0434><U+0438><U+0439><U+0441><U+043A><U+043E><U+043C> <U+043E><U+043A><U+0435><U+0430><U+043D><U+0435>","<U+82F1><U+5C5E><U+5370><U+5EA6><U+6D0B><U+9886><U+5730>","<U+0627><U+0644><U+0645><U+0646><U+0627><U+0637><U+0642> <U+0627><U+0644><U+0628><U+0631><U+064A><U+0637><U+0627><U+0646><U+064A><U+0651><U+0629> <U+0641><U+064A> <U+0627><U+0644><U+0645><U+062D><U+064A><U+0637> <U+0627><U+0644><U+0647><U+0646><U+062F><U+064A>","British Indian Ocean Territory","Territorio Británico del Océano Índico","Territoire britannique de l'océan Indien","<U+0411><U+0440><U+0438><U+0442><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+0442><U+0435><U+0440><U+0440><U+0438><U+0442><U+043E><U+0440><U+0438><U+044F> <U+0432> <U+0418><U+043D><U+0434><U+0438><U+0439><U+0441><U+043A><U+043E><U+043C> <U+043E><U+043A><U+0435><U+0430><U+043D><U+0435>","<U+82F1><U+5C5E><U+5370><U+5EA6><U+6D0B><U+9886><U+5730>","<U+0627><U+0644><U+0645><U+0646><U+0627><U+0637><U+0642> <U+0627><U+0644><U+0628><U+0631><U+064A><U+0637><U+0627><U+0646><U+064A><U+0651><U+0629> <U+0641><U+064A> <U+0627><U+0644><U+0645><U+062D><U+064A><U+0637> <U+0627><U+0644><U+0647><U+0646><U+062F><U+064A>","Br Ind Oc Tr","086"
"SLB",NA,"Solomon Islands",NA,"Solomon Islands","Islas Salomón","Îles Salomon","<U+0421><U+043E><U+043B><U+043E><U+043C><U+043E><U+043D><U+043E><U+0432><U+044B> <U+041E><U+0441><U+0442><U+0440><U+043E><U+0432><U+0430>","<U+6240><U+7F57><U+95E8><U+7FA4><U+5C9B>","<U+062C><U+0632><U+0631> <U+0633><U+0644><U+064A><U+0645><U+0627><U+0646>","Solomon Islands","las Islas Salomón","les Îles Salomon","<U+0421><U+043E><U+043B><U+043E><U+043C><U+043E><U+043D><U+043E><U+0432><U+044B> <U+041E><U+0441><U+0442><U+0440><U+043E><U+0432><U+0430>","<U+6240><U+7F57><U+95E8><U+7FA4><U+5C9B>","<U+062C><U+0632><U+0631> <U+0633><U+0644><U+064A><U+0645><U+0627><U+0646>","Solomon Is","090"
"BRN",NA,"Brunei Darussalam",NA,"Brunei Darussalam","Brunei Darussalam","Brunéi Darussalam","<U+0411><U+0440><U+0443><U+043D><U+0435><U+0439>-<U+0414><U+0430><U+0440><U+0443><U+0441><U+0441><U+0430><U+043B><U+0430><U+043C>","<U+6587><U+83B1><U+8FBE><U+9C81><U+8428><U+5170><U+56FD>","<U+0628><U+0631><U+0648><U+0646><U+064A> <U+062F><U+0627><U+0631> <U+0627><U+0644><U+0633><U+0644><U+0627><U+0645>","Brunei Darussalam","Brunei Darussalam","le Brunéi Darussalam","<U+0411><U+0440><U+0443><U+043D><U+0435><U+0439>-<U+0414><U+0430><U+0440><U+0443><U+0441><U+0441><U+0430><U+043B><U+0430><U+043C>","<U+6587><U+83B1><U+8FBE><U+9C81><U+8428><U+5170><U+56FD>","<U+0628><U+0631><U+0648><U+0646><U+064A> <U+062F><U+0627><U+0631> <U+0627><U+0644><U+0633><U+0644><U+0627><U+0645>","Brunei Darsm","096"
"BGR",NA,"Bulgaria",NA,"Bulgaria","Bulgaria","Bulgarie","<U+0411><U+043E><U+043B><U+0433><U+0430><U+0440><U+0438><U+044F>","<U+4FDD><U+52A0><U+5229><U+4E9A>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0628><U+0644><U+063A><U+0627><U+0631><U+064A><U+0627>","the Republic of Bulgaria","la República de Bulgaria","la République de Bulgarie","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+043E><U+043B><U+0433><U+0430><U+0440><U+0438><U+044F>","<U+4FDD><U+52A0><U+5229><U+4E9A><U+5171><U+548C><U+56FD>","<U+0628><U+0644><U+063A><U+0627><U+0631><U+064A><U+0627>","Bulgaria","100"
"MMR",NA,"Myanmar",NA,"Myanmar","Myanmar","Myanmar","<U+041C><U+044C><U+044F><U+043D><U+043C><U+0430>","<U+7F05><U+7538>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+062A><U+062D><U+0627><U+062F> <U+0645><U+064A><U+0627><U+0646><U+0645><U+0627><U+0631>","the Republic of the Union of Myanmar","la República de la Unión de Myanmar","République de l'Union du Myanmar","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0421><U+043E><U+044E><U+0437> <U+041C><U+044C><U+044F><U+043D><U+043C><U+0430>","<U+7F05><U+7538><U+8054><U+90A6><U+5171><U+548C><U+56FD>","<U+0645><U+064A><U+0627><U+0646><U+0645><U+0627><U+0631>","Myanmar","104"
"BDI",NA,"Burundi",NA,"Burundi","Burundi","Burundi","<U+0411><U+0443><U+0440><U+0443><U+043D><U+0434><U+0438>","<U+5E03><U+9686><U+8FEA>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0628><U+0648><U+0631><U+0648><U+0646><U+062F><U+064A>","the Republic of Burundi","la República de Burundi","la République du Burundi","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0443><U+0440><U+0443><U+043D><U+0434><U+0438>","<U+5E03><U+9686><U+8FEA><U+5171><U+548C><U+56FD>","<U+0628><U+0648><U+0631><U+0648><U+0646><U+062F><U+064A>","Burundi","108"
"ATA",NA,"Antarctica",NA,"Antarctica","Antártida","Antarctique","<U+0410><U+043D><U+0442><U+0430><U+0440><U+043A><U+0442><U+0438><U+043A><U+0430>","<U+5357><U+6781><U+6D32>","<U+0623><U+0646><U+062A><U+0627><U+0631><U+062A><U+064A><U+0643><U+0627>","Antarctica","Antártida","Antarctique","<U+0410><U+043D><U+0442><U+0430><U+0440><U+043A><U+0442><U+0438><U+043A><U+0430>","<U+5357><U+6781><U+6D32>","<U+0623><U+0646><U+062A><U+0627><U+0631><U+062A><U+064A><U+0643><U+0627>","Antarctica","010"
"BVT",NA,"Bouvet Island",NA,"Bouvet Island","Isla Bouvet","Île Bouvet","<U+043E><U+0441><U+0442><U+0440><U+043E><U+0432> <U+0411><U+0443><U+0432><U+0435>","<U+535A><U+7EF4><U+7279><U+5C9B>","<U+062C><U+0632><U+0631> <U+0628><U+0648><U+0641><U+064A><U+0647>","Bouvet Island","Isla Bouvet","Île Bouvet","<U+043E><U+0441><U+0442><U+0440><U+043E><U+0432> <U+0411><U+0443><U+0432><U+0435>","<U+535A><U+7EF4><U+7279><U+5C9B>","<U+062C><U+0632><U+0631> <U+0628><U+0648><U+0641><U+064A><U+0647>","Bouvet Is","074"
"CMR",NA,"Cameroon",NA,"Cameroon","Camerún","Cameroun","<U+041A><U+0430><U+043C><U+0435><U+0440><U+0443><U+043D>","<U+5580><U+9EA6><U+9686>","<U+062C><U+0645><U+0647><U+0648><U+0631><U+064A><U+0651><U+0629> <U+0627><U+0644><U+0643><U+0627><U+0645><U+064A><U+0631><U+0648><U+0646>","the Republic of Cameroon","la República del Camerún","la République du Cameroun","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0430><U+043C><U+0435><U+0440><U+0443><U+043D>","<U+5580><U+9EA6><U+9686><U+5171><U+548C><U+56FD>","<U+0627><U+0644><U+0643><U+0627><U+0645><U+064A><U+0631><U+0648><U+0646>","Cameroon","120"
"CAN",NA,"Canada",NA,"Canada","Canadá","Canada","<U+041A><U+0430><U+043D><U+0430><U+0434><U+0430>","<U+52A0><U+62FF><U+5927>","<U+0643><U+0646><U+062F><U+0627>","Canada","el Canadá","le Canada","<U+041A><U+0430><U+043D><U+0430><U+0434><U+0430>","<U+52A0><U+62FF><U+5927>","<U+0643><U+0646><U+062F><U+0627>","Canada","124"
